Name;URL;Author;Price;Number of ratings;Average rating
"
            The Power of your Subconscious Mind
        ";https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;   98.00;4.5 out of 5 stars;2,891
"
            The Subtle Art of Not Giving a F*ck
        ";https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;   340.00;4.3 out of 5 stars;252
"
            Think and Grow Rich
        ";https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;   75.00;4.5 out of 5 stars;2,409
"
            A Brief History of Time: From Big Bang to Black Holes
        ";https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1;Stephen Hawking;   226.00;4.5 out of 5 stars;526
"
            Indian Polity 5th Edition
        ";https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1;M. Laxmikanth;   403.00;4.5 out of 5 stars;1,938
"
            Railway Assistant Loco Pilot and Technician 2018
        ";https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1;Arihant Experts;   155.00;4.0 out of 5 stars;59
"
            Word Power Made Easy
        ";https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;   109.00;4.4 out of 5 stars;4,751
"
            India 2018
        ";https://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1;Publication Division;   230.00;3.5 out of 5 stars;43
"
            Manorama Yearbook 2018
        ";https://www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1;Mammen Mathew;   195.00;4.1 out of 5 stars;141
"
            General Knowledge 2019
        ";https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;   25.00;4.2 out of 5 stars;42
"
            A Century is not Enough: My Roller-coaster Ride to Success
        ";https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Sourav Ganguly;   394.00;4.6 out of 5 stars;110
"
            Sapiens
        ";https://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;   279.00;4.6 out of 5 stars;900
"
            RRB Group D Guide 2018
        ";https://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1;Arihant Experts;   153.00;4.0 out of 5 stars;41
"
            How to Win Friends and Influence People
        ";https://www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1;Dale Carnegie;   172.00;4.5 out of 5 stars;1,832
"
            Quantitative Aptitude for Competitive Examinations
        ";https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;   534.00;4.3 out of 5 stars;584
"
            Diary of a Wimpy Kid: The Getaway (book 12)
        ";https://www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1;Jeff Kinney;   213.00;4.7 out of 5 stars;295
"
            Mathematics for Class 10 by R D Sharma (2018-19 Session)
        ";https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1;R.D. Sharma;   406.00;4.8 out of 5 stars;20
"
            The Alchemist
        ";https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;   210.00;4.6 out of 5 stars;2,975
"
            A Brief History of Modern India
        ";https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;   265.00;4.2 out of 5 stars;139
"
            Will You Still Love Me?
        ";https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1;RAVINDER SINGH;   109.00;4.8 out of 5 stars;77
"
            Immortal Talks
        ";https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1;Shunya;   249.00;4.8 out of 5 stars;534
"
            Harry Potter and the Philosopher's Stone
        ";https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;   220.00;4.7 out of 5 stars;771
"
            Indian Art and Culture
        ";https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1;Nitin Singhania;   309.00;4.5 out of 5 stars;127
"
            Why I Am a Hindu
        ";https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1;Dr. Shashi Tharoor;   398.00;3.6 out of 5 stars;108
"
            Mathematics for Class 9 by R D Sharma (2018-19 Session)
        ";https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;R.D. Sharma;   355.00;4.8 out of 5 stars;11
"
            The Monk Who Sold His Ferrari
        ";https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;   169.00;4.5 out of 5 stars;2,447
"
            15 Years' Solved Papers JEE Main
        ";https://www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1;Vikas Jain;   312.00;4.3 out of 5 stars;40
"
            Concepts of Physics 2
        ";https://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1;H.C. Verma;   282.00;4.6 out of 5 stars;431
